Date 02/11/2024,States/UTs,Average Price,Maximum Price,Minimum Price,Modal Price,Andaman and Nicobar,Andhra Pradesh,Arunachal pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Delhi,DNH and DD,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Ladakh,Madhya Pradesh,Maharashtra,Meghalaya,Mizoram,Nagaland,Odisha,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
Daily Retail Prices Of Essential Commodities,Rice,43.52,66,29,40,51,53,44.5,42.05,38,44,41,40,47.67,42,40,41.08,45,38.71,53.86,49.29,47,38.07,48.53,37.63,50,43.33,38.65,39.71,40,51.5,57.43,56.3,37.75,39.74,35,43.4
Unit:(Rs./Kg.),Wheat,31.94,58,24,29,,42.67,45,37.09,28.97,31,36.6,30,39.33,34.67,30,24,33.4,31.5,42.68,46.75,,29.88,40,43.14,42.14,42.25,38,26.93,29.33,39.5,45,40.5,,28.15,24,30.71
,Atta (Wheat),37.11,70,28,35,69,46,43,39.41,34.64,36,39.2,34,44.67,37.67,33.5,35.67,39.83,35.71,44.39,45.86,43,34.44,44.42,42,48.5,48.6,42.59,32.43,33.33,39,54.9,44.4,40,33.66,38,39.4
,Gram Dal,95.37,145,70,90,111,106.67,103,96.32,88.75,90,95.2,100,99.33,88,97,98.83,95.33,92.79,96.04,111.85,132.5,93.12,99.79,110.25,97.8,96.36,96.82,100.07,89,98,102,91.4,99.67,89.32,90,90.93
,Tur/Arhar Dal,162.01,200,130,160,176,170,179.5,168.24,155.97,165,162,163,161.67,169.33,169,167.33,176.4,160.29,159.68,176.46,180,156.39,166.21,177.67,159,165.67,156.94,167.93,166.33,170,171.24,163.4,164,153.65,162,163.2
,Urad Dal,125.64,170,91,125,163,132.33,128.25,112.9,121.47,125,120,143,142.33,130.67,118.5,132.92,129.67,121.5,131.61,142.83,141,118.8,130,133,132.83,122.5,118.88,132.36,121.83,131.5,138.71,128.5,129,120.5,115,125.07
,Moong Dal,116.53,160,90,120,137.67,119.67,118.25,115.5,113.28,116,116.6,123,125.33,119.67,118,115.42,121.67,112.79,118.68,131.69,128.5,109.51,120,123.13,133.6,122.73,113.47,117.29,109.33,130,121.9,115.8,112,111.95,116,115.73
,Masoor Dal,90.27,160,74,90,104,91.67,101.25,91.27,80.42,90,88.4,90,92.33,88.33,88,87.42,101.17,82.07,92.75,101.69,131.5,86.71,93.47,87,97.88,97.8,83.29,93.21,83.5,97.5,92.94,93.4,105.75,87.81,98,95
,Sugar,45.15,60,38,45,54,44,53.75,47.24,44.49,45,44.4,45,44,42.33,45,47,50.33,45.23,42.82,44.07,55,42.73,43.83,49.38,52.25,50.14,45.29,44.86,42,52.25,44.24,40.3,49.5,43.98,45,46.47
,Milk @,59.03,83,28,60,73.67,59.33,75.25,72.74,56.2,60,58.2,56,65.67,62,57.5,52.92,50.17,59.23,50.93,54.36,60,55.63,58.83,74,80.38,73.33,51.76,59.86,50.67,63.75,46.38,58.1,74.25,62.11,67,56.4
,Groundnut Oil (Packed),193.95,275,141,187,237,180,169,201.63,189.69,183,202.5,216,217.33,189,217.5,225.75,,188.4,182.36,235.33,,192.27,197.16,,172,200,201.2,233.17,171.5,,216.19,169.1,,200.18,179,207
,Mustard Oil (Packed),165.94,209,124,165,163.33,169.67,176.67,167.91,155.29,139,167.2,178,190.33,179.67,165.5,185.08,179.2,170,170.57,192.3,176,161.15,181.83,155.75,179,150.4,181,169.43,143.17,185,186.73,162.9,177.25,161.77,157,166.67
,Vanaspati (Packed),141.02,209,92,143,163.67,138.67,129,147.17,133.49,124,128.8,161,159.67,137,149,155.58,147.5,143.54,125.75,167.23,177,134.51,146.63,157,126.5,152.33,142.44,159.71,124.17,137.75,153.1,111.67,139,139.55,157,140.2
,Soya Oil (Packed),139.56,198,92,148,,133,141.25,141.68,136.42,119,137,156,151.67,138.67,143.5,145.8,143.5,140.23,135.86,146,190,137.12,145.68,149.75,135.75,155.6,140.6,151.07,117.8,155,,114.38,146.5,140.18,142,134.33
,Sunflower Oil (Packed),144.52,220,105,148,134.67,156.33,165.33,147.29,150.53,120,142.6,156,160.67,142.67,150.5,150.75,158.2,152.45,139,153.21,,143.05,151.42,220,148.5,171.5,146.12,156.75,133,152,146.52,135.9,168,148.51,166,143.14
,Palm Oil (Packed),125.69,170,90,137,120,136,,120.86,116.27,100,132.8,134,122.33,141.33,128.5,114.5,130.75,119.85,121.93,146.18,,115.5,134.38,,120.75,155.5,127.88,133.09,106,,132.43,123.4,130,119.8,,121.14
,Gur,55.76,130,38,50,76.67,59,85.75,61,47.63,55,50,62,67,54,53,50,53.17,52.15,51.82,61.15,70,51.12,55.83,78,109.71,77,53.53,52.5,45,61.67,59,53.4,72,51.84,57,53.4
,Tea Loose,268.49,520,154,300,310,291.33,355,247.86,271.6,269,204.6,245,262.33,210.67,259,267.92,316.5,245.62,243.32,233.91,480,230.12,305.17,343.13,488.63,302.69,285.5,271.71,309.8,390,289.47,284.78,227.75,238.44,280,263
,Salt Pack (Iodised),22.04,30,10,27,19.67,20,19.5,13.38,23.09,28,19,27,27.33,19.67,26,27.83,28,25.46,18.14,15.07,28,16.15,24,19.5,29.75,17.71,26.59,26.36,20.33,22,25.14,20.1,11,26.29,28,24
,Potato,36.88,71,23,40,69.33,41.67,38,33.17,32.69,39,41.2,33,36,39.67,35,37.75,36.5,35,40.29,50.21,45,33.83,40.53,39,49.13,40.33,32.65,31.14,37.67,41.75,50.33,37.8,36.5,31.19,35,30.2
,Onion,54.67,90,30,60,81.67,50.67,59.5,62.3,49.33,52,57.2,57,60,50.33,61,62.5,62.67,52.57,45.57,62.08,70,47.05,50.05,71.63,62.88,67.73,56.71,58.57,44.33,70,59.9,47.4,66,49.82,59,57.6
,Tomato,58.45,150,23,60,133.33,40,79.25,63.09,57.06,60,52.6,62,55,44.67,84,68.92,75.5,72.14,41.96,41.23,80,52.32,52.84,52.75,96,71.13,60.06,58.57,61,73.75,46.62,48.4,73.25,56.53,70,68.33
